primary_question,answer
在客户列表中查不到客户,"原因1：
置业顾问在客户列表查不到客户。
解决方法：
客户的归属不是该置业顾问，置业顾问只能查看到归属与自己的客户。
原因2：
营销主管的客户列表是空，是因为营销经理没有设置置业顾问的汇报关系。
解决办法：
营销经理在拉风PC端，驼舟-人员管理-置业顾问考勤设置，把置业顾问的汇报关系设置成主管（设置今天、明天、后天的汇报关系即可），主管只能看到有汇报关系的置业顾问的客户。"
拉风APP和iPad中无法修改客户姓名和性别,"原因：
客户在本项目或其他项目有如下操作，则不可修改姓名和性别：
① 当前已收暂收款；
② 当前已收诚意金（定金）；
③ 有效认筹；
④ 有效认购；
⑤ 有效签约。
解决方法：
不能直接修改姓名和性别，让客户提供新手机号在拉风app重新录入一条客储，然后在CRM系统，合同详情界面-销售变更-新增变更-权益人变更，操作申请权限人变更把已交的钱转到新录入的客储。"
拉风APP与蜜蜂派自渠的跟进记录不一致,进入【拉风APP】-【我的】-【设置】，关闭只看置业顾问跟进。
拉风ipad申请手动录入客户,因集团COE的要求，ipad10月20日已强制升级，新版本关闭了手动录入功能（此前集团COE渠道已下发过通知），如有需要开启手录功能的项目请按集团COE渠道的要求，拉群申请，申请后COE渠道对接会协助开启。具体政策及拉群申请方式请咨询各地区的集团COE渠道对接（不知道联系谁的请的可联系王俊凯OA：wangjunkai）。
拉风PC端修改判客归属提示该客户不满足修改条件,"原因：
客户最后一次到访时间或者签约时间不在本月，不可以进行修改。
解决办法：
1.如果是2级客户，在iPad录入客户到访信息，然后在操作修改判客归属；
2.如果是签约客户，不允许修改。"
拉风修改判客归属页面点击修改和上传附件页面无反应,"问题原因：浏览器兼容性问题。
 
解决办法：使用谷歌浏览器操作。"
新增客户时座机电话无法录入,目前我们暂不支持录入座机，如果实在无法提供手机号，您可以在固话前面输入00852或者00853完成录入。
拉风app新增客户时提示暂无新增客户权限,"原因：
没有“地区地产项目置业顾问”角色权限。
解决方法：
1.参考文档申请项目置业顾问权限拉风-角色变更申请.pdf
2.角色权限审批通过后，预计每天的3:30，12:30，18:30之后生效，角色生效后，退出重新登录拉风APP。"
中介保护期定义,"电话报备保护期：中介报备成功后生成的保护期，保护期内其他渠道不可切客。可多个中介同时报备一个客户，以带到访扫码认领的为准。
电话报备有效期：从中介隐号报备成功到其可扫码认领有效的时间。（① 期间可被其他渠道切客 ②同一个号，全号报备认领失败后，不可隐号认领）
截客时间：从报备到带客户到访的最短时间限制，避免中介案场门口切客。 例：12:00报备客户成功，截客时间为0.5小时，则12:00-12:30不可扫码认领
2级个人保护期：客户到访后，中介扫码认领成功生成的渠道个人保护期。
报备次数：允许报备的次数限制
1级客储过保后，非自渠可报备时间：1级客户，个人保护期和渠道保护期均过保X天后，中介可以报备成功的时间。"
换房和增加权益人的判客规则,"1、换房的时候不重新判客
换房通常有时间差，可能出现原渠道归属已经过保的情况，且换房并未改变客户渠道归属及成交意向，所以沿用原房间归
属。但需要注意，在CRM操作退房后再认购/签约，系统不认为是换房。
2、权益人变更的时候不重新判客：
权益人变更通常为房间写名的决策问题，增/减权益人并未改变客户渠道归属及成交意向，故判客结果以认购时刻的结果为
准。若存在A/B号的场景，可以通过修改房间判客归属来进行调整。"
拉风判客规则,"房间成交时，将所有权益人按判客规则进行房间归属判定，规则如下：
① 判断房间认购日期是否在渠道个人保护期内，若存在多个在保的渠道归属，按规则②继续判定
② 以有效带到访优先为原则，判断客户最后一次到访归属与当前归属是否为同一人，是则以其为准；
若存在多个有效带到访的渠道归属，按规则③判定若不存在有效带到访的渠道，按规则④判定
③ 以多个有效带到访的渠道的当前归属人首次跟进时间在前的为准；
④ 以多个在保渠道的当前归属人首次跟进时间在前的为准
*备注：判断完房间渠道归属后，判断该渠道对应的客户是否存在商机运营协助归属，若存在，判断其是否在保，
在保则认为房间协助归属为该商机运营。
详细资料可参见：用户手册-1104-判客培训材料.pdf"
拉风首次跟进时间含义,首次跟进时间指的是 首次获得归属的时间，如果脱保过，会取最近一次获得归属的时间。
客储诊断工具中1级自然到访指的是什么,1级自然到访指的是中介和大学生认领成功的2级客户；1个客户直接成为2级的客户，在1级客储数量统计上也会增加1的。
拉风数据导出,集团安全要求，系统所有内容都无法导出，只允许在系统内查看。
客储重新分配的方法,营销经理到拉风pc端-客户管理-置业顾问归属及分配模块中操作分配。
拉风app端修改竞品楼盘信息,营销经理有权限维护，在拉风PC端后台的【客户管理】-【地区公司标签设置】
招商系统权限说明,"确保具体使用招商系统的角色，若无角色可在权限自助平台申请或联系地区人力：
①招商专员角色：地区地产营销招商员工、地区地产招商专员；
②地区招商负责人：地区地产招商模块负责人、地区地产营销销售招商负责人；
③集团招商角色：地产总部营销商办营销招商专员。"
商办系统无事业部的权限说明,"主数据部分事业部未进行调整，相应角色可在老组架上申请：
https://am.longfor.com/#/apply/out/commonApply"
拉风系统折扣设置,"营销经理在拉风后台-【参数设置】-【掌上售楼处权限设置】，打开置业顾问使用置业计划的开关。
在【掌上售楼处】-【折扣展示管理设置】打开展示折扣。
crm折扣审批完之后，拉风这里就可以选择折扣了。"
无法登陆资金管理平台,登录链路【云图梭】-【应用】-【权限平台自助】，检查资金类角色的分管业务单元范围是否正常维护。维护后5分钟后同步到资金，可再次登录跳转资金平台做验证
开通合作方资金权限,"权限平台自助申请：
审批角色：【地区地产财务合作公司财务总监】
资金查询角色：【地区地产财务财务管理合作方资金专员】，添加所需业务单元，审批完成T+1同步资金。"
【公对公】【公对私】转账流水同步时长,"公对公转账流水同步时间为一天。
公对私转账流水同步时间为一天。"
资金系统支付登记方法,【资金管理系统】--【资金结算管理】--【业务系统对接】-【快捷付款】-【单笔付款申请】， 点击【修改】按钮，将结算方式改为【线下转账】，然后进入【业务系统对接】-【快捷付款】-【单笔付款处理】，点击【支付】按钮就可以了。如没有权限操作需要找地区有权限的财务老师操作。
付款单据的结算方式区别,"1、商业承兑汇票（电子）
2、保理
3、工抵房线下转账
4、调拨登记
5、共享认领登记
6、浙商A+B
7、付款代理
8、网银报盘
9、工行e信
10、支票
11、其他
12、转账
13、银行直扣
14、缴款通知单
注：除了“转账”要跟银行交互后实时到账，其他的结算方式都是只做登记。转账不需要财务登记，单据上信息无误的话银行直接就支付；其他的结算方式是线下支付或者网银支付，付掉之后平台财务在资金系统做支付登记。"
